
IMVAL SRL,+39 335 259495,Merk: Clark Type: GEAR KIT code 816002 Prijs: € 276- Excl. BTW Bouwjaar: Nieuw Draaiuren: Onbekend Gewicht: Onbekend Conditie: Nieuw RefNr: 816002 Straat: MUZIO da SORESINA 5 Postcode: 26845 Stad: SORESINA Land: Italy Telefoon: +39 335 259495 Mobiel: +39 335 259495 Fax: +39 0377 436280,
Verdij BV,0654901383,Merk: KSE van den berg Type: 1200 V Omega Prijs: Op aanvraag Bouwjaar: 2004 Draaiuren: Onbekend Gewicht: 8.000 Kg Conditie: Goed RefNr: Gerard Straat: Watermanstraat 15 Postcode: 5015 TG Stad: Tilburg Land: Netherlands Telefoon: 0654901383 Mobiel: 0654901383,
Wout Hogervorst VOF,0619057922,Merk: Yale Type: handpompwagen Prijs: € 350- Excl. BTW Bouwjaar: Nieuw Draaiuren: Onbekend Gewicht: 62 Kg Conditie: Nieuw RefNr: 843.22016600 Straat: Schippersvaartweg 56 56 Postcode: 2211 TL Stad: Noordwijkerhout Land: Netherlands Telefoon: 0252-434222 Mobiel: 0619057922 Fax: 252434222,
Heuvelmans Mechanisatie VOF,,Merk: Heuvelmans Type: Oogst wagens geheel naar wens gemaakt!! Prijs: Op aanvraag Bouwjaar: 2020 Draaiuren: Onbekend Gewicht: Onbekend RefNr: 1248794 Straat: Hoolstraat 2 Postcode: 5056PK Stad: Berkel-Enschot Land: Netherlands Telefoon: 013-5333020,
Heuvelmans Mechanisatie VOF,,Merk: Heuvelmans Type: Oogst wagens geheel naar wens gemaakt!! Prijs: Op aanvraag Bouwjaar: 2020 Draaiuren: Onbekend Gewicht: Onbekend RefNr: 1248787 Straat: Hoolstraat 2 Postcode: 5056PK Stad: Berkel-Enschot Land: Netherlands Telefoon: 013-5333020,
Heuvelmans Mechanisatie VOF,,Merk: Heuvelmans Type: kistenwagen Prijs: Op aanvraag Bouwjaar: 2020 Draaiuren: Onbekend Gewicht: Onbekend RefNr: 1248785 Straat: Hoolstraat 2 Postcode: 5056PK Stad: Berkel-Enschot Land: Netherlands Telefoon: 013-5333020,
Heuvelmans Mechanisatie VOF,,Merk: pazzaglia Type: fz110 Prijs: € 17.500- Excl. BTW Bouwjaar: 2009 Draaiuren: Onbekend Gewicht: Onbekend RefNr: 1248727 Straat: Hoolstraat 2 Postcode: 5056PK Stad: Berkel-Enschot Land: Netherlands Telefoon: 013-5333020,
AA Machines BV,+31 610 555 337,Merk: Volvo Type: SD115B Prijs: Op aanvraag Bouwjaar: 2017 Draaiuren: 837 Gewicht: 11.743 Kg Conditie: Zeer goed RefNr: 1248275 Straat: Griendweg 3 Postcode: 3356 LN Stad: Papendrecht Land: Netherlands Telefoon: +31 78 6452 276 Mobiel: +31 610 555 337 http://www.aamachines.nl,
Epic Auctions B.V.,,Merk: Claas Type: Jaguar 950 Allrad Prijs: € 150.000- Excl. BTW Bouwjaar: 2018 Draaiuren: 163 Gewicht: Onbekend RefNr: 1247189 Straat: Maarheezerweg Zuid 62 Postcode: 5595XK Stad: Leende Land: Netherlands Telefoon: 06-19272154,
Epic Auctions B.V.,,Merk: Claas Type: Jaguar 940 Allrad Prijs: € 150.000- Excl. BTW Bouwjaar: 2015 Draaiuren: 690 Gewicht: Onbekend RefNr: 1247188 Straat: Maarheezerweg Zuid 62 Postcode: 5595XK Stad: Leende Land: Netherlands Telefoon: 06-19272154,
Epic Auctions B.V.,,Merk: Claas Type: Jaguar 870 Allrad Prijs: € 150.000- Excl. BTW Bouwjaar: 2018 Draaiuren: 163 Gewicht: Onbekend RefNr: 1247187 Straat: Maarheezerweg Zuid 62 Postcode: 5595XK Stad: Leende Land: Netherlands Telefoon: 06-19272154,
Duijndam Machines,,Merk: Tumoba harvesting machines Type: SP2 Prijs: Op aanvraag Bouwjaar: Onbekend Draaiuren: Onbekend Gewicht: Onbekend Conditie: Goed RefNr: 2750190930 Straat: Tweede Tochtweg 127 Postcode: 2913LR Stad: Nieuwerkerk aan den IJssel Land: Netherlands Telefoon: +31180632088 http://www.duijndam-machines.com,
Abemec,,Merk: Type: Onbekend Prijs: € 165.000- Incl. BTW Bouwjaar: 2018 Draaiuren: Onbekend Gewicht: Onbekend RefNr: MCH-187391 Straat: Pater van den Elsenlaan 4 Postcode: 5462 GG Stad: Veghel Land: Netherlands Telefoon: 0413 382185 Fax: 0413382217,
